Region,Country,Industry,Category,Subcategory,ProductId,Lowest Level,2019,2020,2021,2022,2023,2024
World,World,Apparel and Footwear,Apparel,Women's Swimwear,723124,yes,17322.4586423801,14045.4774091084,16497.5664556108,16170.0890324115,16765.405803674,16806.5045063147
World,World,Apparel and Footwear,Apparel,Women's Underwear,723122,yes,90857.3522516798,79090.2726758803,88953.0621033013,87264.368220767,89476.479638559,89322.9515692569
World,World,Apparel and Footwear,Apparel,Sheer Hosiery,723203,yes,18411.3402423895,14838.7993336963,15918.0325923971,14766.6078596157,14880.9114256862,14710.7397709528
World,World,Apparel and Footwear,Apparel,Non-Sheer Hosiery,723202,yes,39463.5779694113,33507.4270878429,36505.8071529421,34614.588650911,35312.903758618,35288.2300928924
World,World,Apparel and Footwear,Footwear,Children's Footwear,723184,yes,58557.4127921295,49337.5751967693,54915.0917563779,54629.9149543289,56261.8192831807,54537.0086721307
World,World,Apparel and Footwear,Footwear,Men's Footwear,723182,yes,148597.8757865838,122680.8209548491,138022.6167346829,137141.4642202679,142270.8667285467,139753.7619736721
World,World,Apparel and Footwear,Footwear,Women's Footwear,723183,yes,202105.1938974714,166126.0044372915,187203.5973403654,184145.6239357794,190299.9063051403,187758.8402970657
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Baby and Toddler Wear,723179,yes,12124.9129696414,10675.28792301,11821.1328651951,11185.4901400784,11862.0686936692,12052.3507072746
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Boys' Apparel,723181,yes,25434.225321741,21563.3604859122,23341.3176015775,22883.6815954726,24732.5404684003,25227.2939292023
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Girls' Apparel,723180,yes,24773.4653357244,21593.6382635065,23446.1105482343,22575.6786641233,24375.9215828727,24911.4415245426
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Belts,723127,yes,8698.669090225,7231.89316902,7784.2229864484,7087.8330873442,7628.0835510452,7590.7362209216
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Gloves,723131,yes,5187.4780262283,4476.1188954388,4870.5098690225,4367.3819809341,4692.762823363,4631.3601201062
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Hats/Caps,723129,yes,6091.8700430554,5184.412565878,5589.9389738746,5199.9320768101,5629.1209178127,5635.545988531
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Scarves,723130,yes,6626.0804001046,5571.5359430749,6073.0550202844,5579.6403053696,5981.543602563,6012.5455797069
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Ties,723128,yes,7195.8873635464,5861.2039253173,6306.2456616696,5719.07083118,6102.4816727076,5982.7670804954
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Other Apparel Accessories,723132,yes,2833.3297444592,6108.8389703686,7052.070069495,5739.1615956292,5394.6830473355,5182.4253563619
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Men's Nightwear,723192,yes,4360.6015990199,4018.7663792005,4350.5344130685,3976.1628617278,4235.1690102371,4168.337945512
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Economy Men's Jeans,723187,yes,4829.1796762208,3845.4918068962,4105.4813384909,4029.5798647462,4277.9705133926,4374.1842955911
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Standard Men's Jeans,723188,yes,6437.6828596742,5155.7230982612,5441.7623789203,5398.6611130633,5663.6015796313,5816.6434389558
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Premium Men's Jeans,723189,yes,4763.478976871,3862.3624468868,4052.4702803605,4082.5105800621,4278.3352819821,4399.9224035693
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Super Premium Men's Jeans,723190,yes,2113.5156260041,1648.6643244362,1751.3452796713,1734.3697118737,1835.2268411338,1866.3781335534
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Men's Jackets and Coats,723170,yes,16892.1551952236,13899.8626579122,15018.8051412023,14270.2011401473,15377.7776139128,15562.6618867496
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Men's Jumpers,723167,yes,4871.7193009648,4319.4281848034,4491.7282890664,4439.207848433,4585.5604464809,4597.502266549
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Men's Shirts,723166,yes,33418.2302844735,25763.0937551561,27755.6243257737,28106.9706898813,30028.2625161321,30419.5159785459
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Men's Shorts and Trousers,723168,yes,27608.4861552479,22108.4808632081,23537.0739182556,23734.398659805,25306.3401753305,25780.1841288337
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Men's Suits,723169,yes,22956.8495852303,18718.424815769,20268.3588427958,18804.897168563,19957.7471125336,19887.8587294055
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Men's Tops,723165,yes,18573.7723803908,15097.5642665225,15609.129824321,16825.9511096015,17847.487083985,18261.363560484
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Other Men's Outerwear,723171,yes,6773.2323195796,5171.5236384466,5601.6647301045,5282.7387291538,5656.73640218,5702.655506517
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Men's Swimwear,723193,yes,1302.9170908263,887.3734445475,985.6068447251,1010.9727747673,1120.8576348608,1121.9264792751
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Men's Underwear,723191,yes,17617.8078053184,15246.3028014437,16239.9909296616,15612.440643993,16562.673268094,16593.3975102477
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Nightwear,723123,yes,12216.0739873062,11141.6661393512,12019.5251761033,11230.891659768,11986.0185331236,11844.9584987319
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Economy Women's Jeans,723118,yes,3652.7322064125,2990.98875777,3160.3841403144,2988.7535374917,3138.8933791378,3136.4818437744
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Standard Women's Jeans,723119,yes,5152.2218704951,4250.7956668539,4526.1133499272,4442.9007118848,4561.2975868144,4530.1015655328
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Premium Women's Jeans,723120,yes,3300.6200925395,2737.7637866392,2892.7591671884,2908.5315497097,3076.1494397655,3126.8075102999
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Super Premium Women's Jeans,723121,yes,1535.3214392506,1248.5512582209,1328.0156399407,1282.9181325615,1356.6452959194,1355.8362088095
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Dresses,723115,yes,20950.8620175715,17437.6422165877,19012.431439958,17631.2145925946,18963.1710854974,18946.3241256717
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Jackets and Coats,723177,yes,19635.2914472458,16646.4126783132,17973.451478291,16805.7511475478,17893.4189445068,17971.8713449476
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Jumpers,723174,yes,4338.6809930884,3754.4623682012,3888.7747136328,3881.1425270803,3987.4666925739,4020.4036911657
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Leggings,723126,yes,4031.6948184552,3520.8991065941,3663.0613052674,3771.5944088659,3883.2857199888,4056.7230557207
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Shirts and Blouses,723173,yes,23470.7664289278,19486.1414182524,20911.7923049751,20162.2297752705,21394.6147356861,21719.4967083118
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Shorts and Trousers,723175,yes,20374.583431674,17435.8961124965,18873.6064130299,17821.8884334907,19126.3480107073,19314.7228021211
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Skirts,723116,yes,22350.8951179617,18889.922851916,20517.9799709975,18704.6022542693,20002.9316457533,20150.9561614882
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Suits,723176,yes,16551.6719805164,13732.9792678482,14849.389387493,13803.9756790974,14820.5195558865,14700.4672566426
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Tops,723172,yes,19823.3246027242,16472.5486501648,17471.2432868591,18198.2014353725,19339.3377992628,19949.1625032008
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Other Women's Outerwear,723178,yes,31367.8800014539,21212.5634191848,22956.9269404936,23386.4233732589,25445.7638307803,25921.74722385
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Swimwear,723124,yes,5419.4559575097,4214.0747089479,5011.8766343611,4673.1670851886,5222.1585929706,5207.2581906883
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Women's Underwear,723122,yes,40366.5306485971,35480.9360459636,38528.1810346311,36882.6732082849,39068.6705984699,39443.4865884879
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Sheer Hosiery,723203,yes,7879.0483800342,6690.2963646959,7085.0230174191,6032.0048076469,6180.8062542618,6112.7729176287
